Token: CLASS class, Línea: 1, Columna: 1
Token: ID Program, Línea: 1, Columna: 7
Token: LBRACE {, Línea: 1, Columna: 15
Token: BOOLEAN boolean, Línea: 2, Columna: 5
Token: ID entrada, Línea: 2, Columna: 13
Token: SEMICOLON ;, Línea: 2, Columna: 20
Token: INT int, Línea: 3, Columna: 5
Token: ID numeros, Línea: 3, Columna: 9
Token: SEMICOLON ;, Línea: 3, Columna: 16
Token: INT int, Línea: 5, Columna: 5
Token: ID suma, Línea: 5, Columna: 9
Token: LPAREN (, Línea: 5, Columna: 13
Token: INT int, Línea: 5, Columna: 14
Token: ID valor1, Línea: 5, Columna: 18
Token: COMMA ,, Línea: 5, Columna: 24
Token: INT int, Línea: 5, Columna: 26
Token: ID valor2, Línea: 5, Columna: 30
Token: RPAREN ), Línea: 5, Columna: 36
Token: LBRACE {, Línea: 5, Columna: 37
Token: INT int, Línea: 6, Columna: 9
Token: ID res, Línea: 6, Columna: 13
Token: SEMICOLON ;, Línea: 6, Columna: 16
Token: ID res, Línea: 7, Columna: 9
Token: ASSIGN =, Línea: 7, Columna: 13
Token: ID valor1, Línea: 7, Columna: 15
Token: PLUS +, Línea: 7, Columna: 22
Token: ID valor2, Línea: 7, Columna: 24
Token: SEMICOLON ;, Línea: 7, Columna: 30
Token: RETURN return, Línea: 8, Columna: 9
Token: ID res, Línea: 8, Columna: 16
Token: SEMICOLON ;, Línea: 8, Columna: 19
Token: RBRACE }, Línea: 9, Columna: 5
Token: ID void, Línea: 10, Columna: 5
Token: ID main, Línea: 10, Columna: 10
Token: LPAREN (, Línea: 10, Columna: 14
Token: RPAREN ), Línea: 10, Columna: 15
Token: LBRACE {, Línea: 10, Columna: 16
Token: INT int, Línea: 11, Columna: 9
Token: ID resultado1, Línea: 11, Columna: 13
Token: SEMICOLON ;, Línea: 11, Columna: 23
Token: INT int, Línea: 12, Columna: 9
Token: ID resultado2, Línea: 12, Columna: 13
Token: SEMICOLON ;, Línea: 12, Columna: 23
Token: BOOLEAN boolean, Línea: 13, Columna: 9
Token: ID resultado3, Línea: 13, Columna: 17
Token: SEMICOLON ;, Línea: 13, Columna: 27
Token: ID entrada, Línea: 14, Columna: 9
Token: ASSIGN =, Línea: 14, Columna: 17
Token: TRUE true, Línea: 14, Columna: 19
Token: SEMICOLON ;, Línea: 14, Columna: 23
Token: IF if, Línea: 16, Columna: 9
Token: LPAREN (, Línea: 16, Columna: 12
Token: ID entrada, Línea: 16, Columna: 13
Token: EQUALS_EQUALS ==, Línea: 16, Columna: 21
Token: TRUE true, Línea: 16, Columna: 24
Token: RPAREN ), Línea: 16, Columna: 28
Token: LBRACE {, Línea: 16, Columna: 29
Token: ID resultado1, Línea: 17, Columna: 13
Token: ASSIGN =, Línea: 17, Columna: 24
Token: ID suma, Línea: 17, Columna: 26
Token: LPAREN (, Línea: 17, Columna: 30
Token: NUMBER 3, Línea: 17, Columna: 31
Token: COMMA ,, Línea: 17, Columna: 32
Token: NUMBER 2, Línea: 17, Columna: 33
Token: RPAREN ), Línea: 17, Columna: 34
Token: SEMICOLON ;, Línea: 17, Columna: 35
Token: RBRACE }, Línea: 18, Columna: 9
Token: ID entrada, Línea: 19, Columna: 9
Token: ASSIGN =, Línea: 19, Columna: 17
Token: FALSE false, Línea: 19, Columna: 19
Token: SEMICOLON ;, Línea: 19, Columna: 24
Token: IF if, Línea: 20, Columna: 9
Token: LPAREN (, Línea: 20, Columna: 12
Token: ID entrada, Línea: 20, Columna: 13
Token: EQUALS_EQUALS ==, Línea: 20, Columna: 21
Token: TRUE true, Línea: 20, Columna: 24
Token: RPAREN ), Línea: 20, Columna: 28
Token: LBRACE {, Línea: 20, Columna: 29
Token: ID resultado1, Línea: 21, Columna: 13
Token: ASSIGN =, Línea: 21, Columna: 24
Token: ID resta, Línea: 21, Columna: 26
Token: LPAREN (, Línea: 21, Columna: 31
Token: NUMBER 3, Línea: 21, Columna: 32
Token: COMMA ,, Línea: 21, Columna: 33
Token: NUMBER 2, Línea: 21, Columna: 34
Token: RPAREN ), Línea: 21, Columna: 35
Token: SEMICOLON ;, Línea: 21, Columna: 36
Token: RBRACE }, Línea: 29, Columna: 9
Token: RBRACE }, Línea: 31, Columna: 5
Token: RBRACE }, Línea: 32, Columna: 1
