stage: scanning
Token: CLASS | Valor: class | Línea: 2 | Columna: 2
Token: ID | Valor: Program | Línea: 2 | Columna: 8
Token: LBRACE | Valor: { | Línea: 2 | Columna: 16
Token: INT | Valor: int | Línea: 4 | Columna: 6
Token: ID | Valor: x | Línea: 4 | Columna: 10
Token: SEMI | Valor: ; | Línea: 4 | Columna: 11
Token: INT | Valor: int | Línea: 5 | Columna: 6
Token: ID | Valor: y | Línea: 5 | Columna: 10
Token: SEMI | Valor: ; | Línea: 5 | Columna: 11
Token: BOOLEAN | Valor: boolean | Línea: 6 | Columna: 6
Token: ID | Valor: flag | Línea: 6 | Columna: 14
Token: SEMI | Valor: ; | Línea: 6 | Columna: 18
Token: INT | Valor: int | Línea: 7 | Columna: 6
Token: ID | Valor: numbers | Línea: 7 | Columna: 10
Token: LBRACKET | Valor: [ | Línea: 7 | Columna: 17
Token: RBRACKET | Valor: ] | Línea: 7 | Columna: 18
Token: SEMI | Valor: ; | Línea: 7 | Columna: 19
Token: BOOLEAN | Valor: boolean | Línea: 8 | Columna: 6
Token: ID | Valor: flags | Línea: 8 | Columna: 14
Token: LBRACKET | Valor: [ | Línea: 8 | Columna: 19
Token: RBRACKET | Valor: ] | Línea: 8 | Columna: 20
Token: SEMI | Valor: ; | Línea: 8 | Columna: 21
Token: VOID | Valor: void | Línea: 10 | Columna: 6
Token: ID | Valor: main | Línea: 10 | Columna: 11
Token: LPAREN | Valor: ( | Línea: 10 | Columna: 15
Token: RPAREN | Valor: ) | Línea: 10 | Columna: 16
Token: LBRACE | Valor: { | Línea: 10 | Columna: 18
Token: ID | Valor: x | Línea: 12 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 12 | Columna: 12
Token: INT_LITERAL | Valor: 10 | Línea: 12 | Columna: 14
Token: SEMI | Valor: ; | Línea: 12 | Columna: 16
Token: ID | Valor: y | Línea: 13 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 13 | Columna: 12
Token: INT_LITERAL | Valor: 20 | Línea: 13 | Columna: 14
Token: SEMI | Valor: ; | Línea: 13 | Columna: 16
Token: ID | Valor: flag | Línea: 14 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 14 | Columna: 15
Token: TRUE | Valor: true | Línea: 14 | Columna: 17
Token: SEMI | Valor: ; | Línea: 14 | Columna: 21
Token: ID | Valor: numbers | Línea: 17 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 17 | Columna: 18
Token: NEW | Valor: new | Línea: 17 | Columna: 20
Token: INT | Valor: int | Línea: 17 | Columna: 24
Token: LBRACKET | Valor: [ | Línea: 17 | Columna: 27
Token: INT_LITERAL | Valor: 5 | Línea: 17 | Columna: 28
Token: RBRACKET | Valor: ] | Línea: 17 | Columna: 29
Token: SEMI | Valor: ; | Línea: 17 | Columna: 30
Token: ID | Valor: flags | Línea: 18 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 18 | Columna: 16
Token: NEW | Valor: new | Línea: 18 | Columna: 18
Token: BOOLEAN | Valor: boolean | Línea: 18 | Columna: 22
Token: LBRACKET | Valor: [ | Línea: 18 | Columna: 29
Token: INT_LITERAL | Valor: 3 | Línea: 18 | Columna: 30
Token: RBRACKET | Valor: ] | Línea: 18 | Columna: 31
Token: SEMI | Valor: ; | Línea: 18 | Columna: 32
Token: ID | Valor: x | Línea: 21 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 21 | Columna: 12
Token: ID | Valor: y | Línea: 21 | Columna: 14
Token: PLUS | Valor: + | Línea: 21 | Columna: 16
Token: INT_LITERAL | Valor: 1 | Línea: 21 | Columna: 18
Token: SEMI | Valor: ; | Línea: 21 | Columna: 19
Token: ID | Valor: y | Línea: 22 | Columna: 10
Token: ASSIGN | Valor: = | Línea: 22 | Columna: 12
Token: ID | Valor: x | Línea: 22 | Columna: 14
